127.0.0.1, 2021-05-26 10:50:20, GET, /admin/default/site, HTTP/1.1, 200, 0.061999
127.0.0.1, 2021-05-26 10:50:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:50:22, GET, /welcome/default/index, HTTP/1.1, 200, 0.016999
127.0.0.1, 2021-05-26 10:50:29, POST, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 1.059894
127.0.0.1, 2021-05-26 10:50:34, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.037806
127.0.0.1, 2021-05-26 10:51:29, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.037777
127.0.0.1, 2021-05-26 10:51:39, GET, /, HTTP/1.1, 303, 0.000999
127.0.0.1, 2021-05-26 10:51:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.030001
127.0.0.1, 2021-05-26 10:51:39, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 10:51:46, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.031271
127.0.0.1, 2021-05-26 10:53:54, GET, /admin/default/index, HTTP/1.1, 303, 1.005995
127.0.0.1, 2021-05-26 10:53:54, GET, /, HTTP/1.1, 303, 0.836751
127.0.0.1, 2021-05-26 10:53:54, GET, /admin/default/site, HTTP/1.1, 200, 0.109999
127.0.0.1, 2021-05-26 10:53:54, GET, /welcome/default/index, HTTP/1.1, 200, 0.224000
127.0.0.1, 2021-05-26 10:53:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-05-26 10:53:54, GET, /favicon.ico, HTTP/1.1, 400, 0.001002
127.0.0.1, 2021-05-26 10:53:57, GET, /admin/default/index, HTTP/1.1, 303, 0.014997
127.0.0.1, 2021-05-26 10:53:57, GET, /admin/default/site, HTTP/1.1, 200, 0.030113
127.0.0.1, 2021-05-26 10:53:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2021-05-26 10:54:04, GET, /welcome/default/index, HTTP/1.1, 200, 0.023038
127.0.0.1, 2021-05-26 10:54:06, GET, /admin/default/index, HTTP/1.1, 303, 0.030985
127.0.0.1, 2021-05-26 10:54:06, GET, /admin/default/site, HTTP/1.1, 200, 0.028999
127.0.0.1, 2021-05-26 10:54:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:54:11, GET, /admin/default/errors/admin, HTTP/1.1, 200, 0.064998
127.0.0.1, 2021-05-26 10:54:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-05-26 10:54:18, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.918221
127.0.0.1, 2021-05-26 10:55:05, GET, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.031258
127.0.0.1, 2021-05-26 10:57:41, POST, /movies/default/call/json/get_recommendations, HTTP/1.1, 500, 0.061989
127.0.0.1, 2021-05-26 10:58:07, GET, /movies/default/call/json/get_recommendations/, HTTP/1.1, 500, 0.031247
127.0.0.1, 2021-05-26 10:58:08, GET, /admin/default/ticket/movies/127.0.0.1.2021-05-26.10-58-07.a74c7061-1974-4058-bf13-3db1db5a7475, HTTP/1.1, 303, 0.000000
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/default/index, HTTP/1.1, 200, 0.046877
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/js/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/js/calendar.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/css/calendar.css, HTTP/1.1, 200, 0.006131
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.001012
127.0.0.1, 2021-05-26 10:58:09, GET, /admin/static/_2.21.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.006001
